         289138062 function calls (289131433 primitive calls) in 1618.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 1111.520 1111.520 1262.704 1262.704 linalg.py:110(point_descent)
        2  180.066   90.033 1618.531  809.265 main.py:1(<module>)
     2900    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1099    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
     5215    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
    290/4    0.001    0.000    0.448    0.112 <frozen importlib._bootstrap_external>:722(exec_module)
     5206    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      290    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      335    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
      185    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
      256    0.001    0.000    0.002    0.000 functools.py:37(update_wrapper)
     1436    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      290    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      327    0.001    0.000    0.002    0.000 enum.py:69(__setitem__)
      130    0.001    0.000    0.004    0.000 textwrap.py:414(dedent)
      277    0.001    0.000    0.004    0.000 function_base.py:431(add_newdoc)
     3374    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
   260/11    0.001    0.000    0.004    0.000 pyparsing.py:1516(_parseNoCache)
     2208    0.001    0.000    0.001    0.000 enum.py:525(__new__)
     1536    0.001    0.000    0.003    0.000 colors.py:116(_is_nth_color)
      290    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      405    0.001    0.000    0.001    0.000 enum.py:375(__setattr__)
   361/39    0.001    0.000    0.251    0.006 {built-in method builtins.__import__}
     2050    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     1454    0.001    0.000    0.004    0.000 re.py:170(match)
      232    0.001    0.000    0.001    0.000 pyparsing.py:1277(__init__)
      126    0.001    0.000    0.006    0.000 deprecation.py:178(deprecate)
  336/333    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
       12    0.001    0.000    0.005    0.000 artist.py:1114(get_aliases)
     2400    0.001    0.000    0.001    0.000 inspect.py:2797(<genexpr>)
     2389    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
       12    0.001    0.000    0.002    0.000 artist.py:1125(<listcomp>)
      492    0.001    0.000    0.007    0.000 rcsetup.py:358(validate_color)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      776    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       15    0.001    0.000    0.001    0.000 arrayprint.py:463(wrapper)
      185    0.001    0.000    0.027    0.000 sre_parse.py:919(parse)
     1840    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      582    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
       13    0.001    0.000    0.539    0.041 __init__.py:1(<module>)
      331    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       29    0.001    0.000    0.001    0.000 {built-in method io.open}
       41    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      130    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      429    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
       39    0.001    0.000    0.006    0.000 __init__.py:1638(param)
       11    0.001    0.000    0.049    0.004 artist.py:1268(pprint_setters)
      330    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1260    0.001    0.000    0.001    0.000 colors.py:236(<genexpr>)
     1159    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
       16    0.001    0.000    0.004    0.000 {built-in method builtins.eval}
      451    0.001    0.000    0.001    0.000 artist.py:1204(_replace_path)
      351    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      185    0.001    0.000    0.002    0.000 enum.py:815(__and__)
     1655    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      465    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      351    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     1690    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      621    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
